SpeciesName	CommonName	IUCN_Threat_Status	ThreatBinary	MinClutchSize	MaxClutchSize	MeanClutchSize	MinSVL_Unspecified_mm	MaxSVL_Unspecified_mm	MeanSVL_Unspecified_mm	MinSVL_Female_mm	MaxSVL_Female_mm	MeanSVL_Female_mm	MinSVL_Male_mm	MaxSVL_Male_mm	MeanSVL_Male_mm	Insectivorous	Moluscivorous	Cannibalism	Herbivorous	Detritivorous	forest	savanna	shrubland	grassland	wetland	rocky_areas	caves	deserts	artificial_terrestrial	artificial_aquatic_&_marine	marine 	other	MinElevation_m	MaxElevation_m	Closest_non_threatened_relative	Notes
Spea hammondii	Western Spadefoot	NT	1	300	500	NA	37	62	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1363	Spea bombifrons	NA
Spea bombifrons	Plains Spadefoot	LC	0	NA	2000	NA	NA	NA	NA	32	40	NA	31	38	NA	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	NA	NA	NA	NA
Anaxyrus canorus	Yosemite Toad	EN	1	1500	2000	NA	NA	NA	NA	60	NA	NA	48	NA	NA	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1950	3444	any	NA
Anaxyrus boreas	Western Toad	NT	1	NA	12000	5200	NA	NA	NA	60	125	NA	56	108	NA	1	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	2461	3557	any	NA
Anaxyrus nelsoni	Amargosa Toad	EN	1	NA	NA	NA	50.8	111.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA	any	NA
Anaxyrus exsul	Black Toad	VU	1	NA	NA	NA	NA	NA	NA	46	69	52	44	59	50	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1450	1700	any	elevation is based on elevation of springs they are known to inhabit
Anaxyrus californicus	Arroyo Toad	EN	1	2013	10368	4714	NA	NA	NA	66	78	NA	51	67	NA	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2440	Anaxyrus microscaphus	NA
Anaxyrus microscaphus	Arizona Toad	LC	0	NA	NA	4500	NA	NA	NA	56	80	NA	53	79	NA	NA	NA	NA	NA	NA	1	0	0	0	1	0	0	0	0	1	0	0	365	1770	NA	NA
Anaxyrus houstonensis	Houston Toad	EN	1	513	6199	NA	NA	NA	NA	52	80	NA	45	70	NA	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	NA	NA	Anaxyrus hemiophrys	NA
Anaxyrus hemiophrys	Canadian Toad	LC	0	3354	5842	NA	NA	NA	NA	56	80	NA	56	68	NA	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	300	2130	NA	NA
