SpeciesName1	CommonName1	IUCN_Threat_Status1	ThreatBinary1	Pair1	ThreatPair1	MinClutchSize1	MaxClutchSize1	MeanClutchSize1	MinSVL_Unspecified_mm1	MaxSVL_Unspecified_mm1	MeanSVL_Unspecified_mm1	MinSVL_Female_mm1	MaxSVL_Female_mm1	MeanSVL_Female_mm1	MinSVL_Male_mm1	MaxSVL_Male_mm1	MeanSVL_Male_mm1	Insectivorous1	Moluscivorous1	Cannibalism1	Herbivorous1	Detritivorous1	Forest1	Savanna1	Shrubland1	Grassland1	Wetland1	Rocky_areas1	Caves1	Deserts1	Artificial_terrestrial1	Artificial_aquatic_&_marine1	Marine1	Other1	MinElevation_m1	MaxElevation_m1	Closest_non_threatened_relative1	Notes1	SpeciesName2	CommonName2	IUCN_Threat_Status2	ThreatBinary2	Pair2	ThreatPair2	MinClutchSize2	MaxClutchSize2	MeanClutchSize2	MinSVL_Unspecified_mm2	MaxSVL_Unspecified_mm2	MeanSVL_Unspecified_mm2	MinSVL_Female_mm2	MaxSVL_Female_mm2	MeanSVL_Female_mm2	MinSVL_Male_mm2	MaxSVL_Male_mm2	MeanSVL_Male_mm2	Insectivorous2	Moluscivorous2	Cannibalism2	Herbivorous2	Detritivorous2	Forest2	Savanna2	Shrubland2	Grassland2	Wetland2	Rocky_areas2	Caves2	Deserts2	Artificial_terrestrial2	Artificial_aquatic_&_marine2	Marine2	Other2	MinElevation_m2	MaxElevation_m2	Closest_non_threatened_relative2	Notes2
Spea bombifrons	Plains Spadefoot	LC	0	1	0	NA	2000	NA	NA	NA	NA	32	40	NA	31	38	NA	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	NA	NA	NA	NA	Spea hammondii	Western Spadefoot	NT	1	1	1	300	500	NA	37	62	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1363	Spea bombifrons	NA
Anaxyrus cognatus	Great Plains Toad	LC	0	2	0	1342	45054	11074	NA	NA	NA	49	115	NA	47	103	NA	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	2438	NA	NA	Anaxyrus canorus	Yosemite Toad	EN	1	2	1	1500	2000	NA	NA	NA	NA	60	NA	NA	48	NA	NA	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1950	3444	any	NA
Anaxyrus cognatus	Great Plains Toad	LC	0	3	0	1342	45054	11074	NA	NA	NA	49	115	NA	47	103	NA	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	2438	NA	NA	Anaxyrus boreas	Western Toad	NT	1	3	1	NA	12000	5200	NA	NA	NA	60	125	NA	56	108	NA	1	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	2461	3557	any	NA
Anaxyrus cognatus	Great Plains Toad	LC	0	4	0	1342	45054	11074	NA	NA	NA	49	115	NA	47	103	NA	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	2438	NA	NA	Anaxyrus nelsoni	Amargosa Toad	EN	1	4	1	NA	NA	NA	50.8	111.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA	any	NA
Anaxyrus cognatus	Great Plains Toad	LC	0	5	0	1342	45054	11074	NA	NA	NA	49	115	NA	47	103	NA	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	2438	NA	NA	Anaxyrus exsul	Black Toad	VU	1	5	1	NA	NA	NA	NA	NA	NA	46	69	52	44	59	50	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1450	1700	any	elevation is based on elevation of springs they are known to inhabit
Anaxyrus microscaphus	Arizona Toad	LC	0	6	0	NA	NA	4500	NA	NA	NA	56	80	NA	53	79	NA	NA	NA	NA	NA	NA	1	0	0	0	1	0	0	0	0	1	0	0	365	1770	NA	NA	Anaxyrus californicus	Arroyo Toad	EN	1	6	1	2013	10368	4714	NA	NA	NA	66	78	NA	51	67	NA	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2440	Anaxyrus microscaphus	NA
Anaxyrus hemiophrys	Canadian Toad	LC	0	7	0	3354	5842	NA	NA	NA	NA	56	80	NA	56	68	NA	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	300	2130	NA	NA	Anaxyrus houstonensis	Houston Toad	EN	1	7	1	513	6199	NA	NA	NA	NA	52	80	NA	45	70	NA	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	NA	NA	Anaxyrus hemiophrys	NA
Anaxyrus americanus	American Toad	LC	0	8	0	2000	20000	NA	NA	NA	NA	56	111	NA	51	85	NA	1	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	1524	NA	NA	Anaxyrus baxteri	Wyoming Toad	EW	1	8	1	1000	6000	NA	NA	NA	NA	NA	NA	52	NA	NA	48	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	305	2134	Anaxyrus americanus	NA
Hyla femoralis	Pine Woods Treefrog	LC	0	9	0	800	2000	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	Hyla andersonii	Pine Barrens Treefrog	TH	1	9	1	800	1000	NA	NA	NA	38	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	NA	NA	"Hyla femoralis, Hyla versicolor, Hyla chrysoscelis"	NA
Rana aurora	Northern Red-legged Frog	LC	0	10	0	200	1100	NA	44	84	NA	NA	NA	NA	NA	NA	NA	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1200	NA	NA	Rana boylii	Yellow-legged Frog	NT	1	10	1	300	2000	900	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1940	Rana aurora	NA
Rana aurora	Northern Red-legged Frog	LC	0	11	0	200	1100	NA	44	84	NA	NA	NA	NA	NA	NA	NA	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1200	NA	NA	Rana cascadae	Cascades Frog	NT	1	11	1	300	800	NA	NA	NA	NA	50	75		50	60	NA	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	400	2740	Rana aurora	NA
Rana aurora	Northern Red-legged Frog	LC	0	12	0	200	1100	NA	44	84	NA	NA	NA	NA	NA	NA	NA	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1200	NA	NA	Rana muscosa	Southern Mountain Yellow-legged Frog	EN	1	12	1	100	350	233	NA	NA	NA	45	50	NA	NA	NA	NA	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1220	2290	Rana aurora	NA
Rana luteiventris	Columbia Spotted Frog	LC	0	13	0	150	2400	600	NA	NA	NA	NA	100	NA	35	75	NA	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	3040	NA	NA	Rana pretiosa	Oregon Spotted Frog	VU	1	13	1	NA	NA	621	NA	NA	NA	60	100	NA	45	75	NA	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1661	Rana luteiventris	mean clutch size is the average of 2 references
Rana palustris	Pickerel Frog	LC	0	14	0	2000	3000	NA	NA	NA	NA	54	78	64	43	56.5	52	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	NA	NA	NA	AmphibiaWeb had SVL min and max ranges and averages so both are included	Rana capito	Carolina Gopher Frog	NT	1	14	1	NA	NA	1728	64	89	NA	75	76	NA	NA	NA	NA	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	NA	NA	Rana palustris	mean clutch size is the average of 4 references
Rana palustris	Pickerel Frog	LC	0	15	0	2000	3000	NA	NA	NA	NA	54	78	64	43	56.5	52	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	NA	NA	NA	AmphibiaWeb had SVL min and max ranges and averages so both are included	Rana areolata	Crawfish Frog	NT	1	15	1	2000	7000	NA	NA	NA	84.9	NA	NA	89.6	NA	NA	82.8	1	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	NA	NA	Rana palustris	"AmphibiaWeb had multiple references of SVL ranges, but also means for each, so averaged the means"
Rana pipiens	Northern Leopard Frog	LC	0	16	0	645	7648	NA	50	110	NA	NA	NA	NA	NA	NA	NA	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	3353	NA	NA	Rana chiricahuensis 	Chiricahua Leopard Frog	VU	1	16	1	300	1485	NA	57	95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	1	0	0	0	0	1	0	0	1000	2710	Rana pipiens	"nearest non-endangered species is actually Rana montezumae but AmphibiaWeb didn't have data for that species, Rana pipiens is the next closest species"
Rana clamitans	Green Frog	LC	0	17	0	1000	7000	NA	NA	NA	NA	87	105	NA	86	103	NA	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1950	NA	NA	Rana okaloosae	Florida Bog Frog	VU	1	17	1	NA	NA	NA	NA	NA	NA	38.2	49.8	NA	34.8	45.8	NA	NA	NA	NA	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0			Rana clamitans 	NA
Rana yavapaiensis	Lowland Leopard Frog	LC	0	18	0	NA	NA	NA	NA	NA	NA	46	72	NA	53	87	NA	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1817	NA	NA	Rana onca	Relict Leopard Frog	EN	1	18	1	NA	NA	NA	44	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	0	0	0	0	0	0	0	370	760	Rana yavapaiensis	NA
Rana palustris	Pickerel Frog	LC	0	19	0	2000	3000	NA	NA	NA	NA	54	78	64	43	56.5	52	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	NA	NA	NA	AmphibiaWeb had SVL min and max ranges and averages so both are included	Rana sevosa	Dusky Gopher Frog	CR	1	19	1	500	7000	NA	NA	NA	NA	64.6	105	82	51.4	84.6	71.4	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	NA	NA	Rana palustris	"had min and maxs but also means, so I averaged the means from all 5 studies, and included overall min and max values as well"
