SpeciesName	Order	Family	Genus	Notes
Spea hammondii	Anura	Scaphiopodidae	Spea	
Spea bombifrons	Anura	Scaphiopodidae	Spea	
Anaxyrus canorus	Anura	Bufonidae	Anaxyrus	
Anaxyrus boreas	Anura	Bufonidae	Anaxyrus	
Anaxyrus nelsoni	Anura	Bufonidae	Anaxyrus	
Anaxyrus exsul	Anura	Bufonidae	Anaxyrus	
Anaxyrus californicus	Anura	Bufonidae	Anaxyrus	
Anaxyrus microscaphus	Anura	Bufonidae	Anaxyrus	
Anaxyrus houstonensis	Anura	Bufonidae	Anaxyrus	
Anaxyrus hemiophrys	Anura	Bufonidae	Anaxyrus	
Anaxyrus americanus	Anura	Bufonidae	Anaxyrus	
Anaxyrus quercicus	Anura	Bufonidae	Anaxyrus	
Anaxyrus terrestris	Anura	Bufonidae	Anaxyrus	
Anaxyrus cognatus	Anura	Bufonidae	Anaxyrus	
Anaxyrus debilis	Anura	Bufonidae	Anaxyrus	
Anaxyrus fowleri	Anura	Bufonidae	Anaxyrus	
Anaxyrus punctatus	Anura	Bufonidae	Anaxyrus	
Anaxyrus retiformis	Anura	Bufonidae	Anaxyrus	
Anaxyrus speciosus	Anura	Bufonidae	Anaxyrus	
Anaxyrus woodhousii	Anura	Bufonidae	Anaxyrus	
Anaxyrus baxteri	Anura	Bufonidae	Anaxyrus	
Hyla andersonii	Anura	Hylidae	Hyla	
Hyla femoralis	Anura	Hylidae	Hyla	
Rana draytonii	Anura	Ranidae	Rana	
Rana boylii	Anura	Ranidae	Rana	
Rana cascadae	Anura	Ranidae	Rana	
Rana muscosa	Anura	Ranidae	Rana	
Rana sierrae	Anura	Ranidae	Rana	
Rana pretiosa	Anura	Ranidae	Rana	
Rana luteiventris	Anura	Ranidae	Rana	
Rana capito	Anura	Ranidae	Rana	
Rana areolata	Anura	Ranidae	Rana	
Rana sevosa	Anura	Ranidae	Rana	
Rana chiricahuensis 	Anura	Ranidae	Rana	
Rana okaloosae	Anura	Ranidae	Rana	
Rana onca	Anura	Ranidae	Rana	
Rana yavapaiensis	Anura	Ranidae	Rana	
Rana tarahumarae	Anura	Ranidae	Rana	
Rana aurora	Anura	Ranidae	Rana	
Rana palustris	Anura	Ranidae	Rana	
Rana heckscheri	Anura	Ranidae	Rana	
Rana pipiens	Anura	Ranidae	Rana	
Rana clamitans	Anura	Ranidae	Rana	
Rana blairi	Anura	Ranidae	Rana	
Rana grylio	Anura	Ranidae	Rana	
Rana sylvatica	Anura	Ranidae	Rana	
Rana virgatipes	Anura	Ranidae	Rana	
Rana sphenocephala	Anura	Ranidae	Rana	
Rana septentrionalis	Anura	Ranidae	Rana	
Rana berlandieri	Anura	Ranidae	Rana	
Rana catesbeiana	Anura	Ranidae	Rana	
Spea intermontana	Anura	Scaphiopodidae	Spea	
Hyla gratiosa	Anura	Hylidae	Hyla	
Craugastor augusti	Anura	Craugastoridae	Craugastor	
Gastrophryne carolinensis	Anura	Microhylidae	Gastrophryne	
Leptodactylus fragilis	Anura	Leptodactylidae	Leptodactylus	
Incilius alvarius	Anura	Bufonidae	Incilius	
Scaphiopus holbrookii	Anura	Scaphiopodidae	Scaphiopus	
Eleutherodactylus marnockii	Anura	Eleutherodactylidae	Eleutherodactylus	
Acris gryllus	Anura	Hylidae	Acris	
Pseudacris nigrita	Anura	Hylidae	Pseudacris	
Rhinophrynus dorsalis	Anura	Rhinophrynidae	Rhinophrynus	
Smilisca baudinii	Anura	Hylidae	Smilisca	
Rhinella marina	Anura	Bufonidae	Rhinella	
Hypopachus variolosus	Anura	Microhylidae	Hypopachus	
Alytes cisternasii	Anura	Alytidae	Alytes	
Alytes dickhilleni	Anura	Alytidae	Alytes	
Alytes muletensis	Anura	Alytidae	Alytes	
Alytes obstetricans	Anura	Alytidae	Alytes	
Atylodes genei	Urodela	Plethodontidae	Atylodes	
Bombina bombina	Anura	Bombinatoridae	Bombina	
Bombina pachypus	Anura	Bombinatoridae	Bombina	
Bombina variegata	Anura	Bombinatoridae	Bombina	
Bufo bufo	Anura	Bufonidae	Bufo	
Bufo mauritanicus	Anura	Bufonidae	Bufo	
Calotriton arnoldi	Urodela	Salamandridae	Calotriton	
Calotriton asper	Urodela	Salamandridae	Calotriton	
Chioglossa lusitanica	Urodela	Salamandridae	Chioglossa	
Discoglossus galganoi	Anura	Alytidae	Discoglossus	
Discoglossus jeanneae	Anura	Alytidae	Discoglossus	
Discoglossus montalentii	Anura	Alytidae	Discoglossus	
Discoglossus pictus	Anura	Alytidae	Discoglossus	
Discoglossus sardus	Anura	Alytidae	Discoglossus	
Epidalea calamita	Anura	Bufonidae	Bufo	Both epidalea calamita and Bufo calamita are used
Euproctus montanus	Urodela	Salamandridae	Euproctus	
Euproctus platycephalus	Urodela	Salamandridae	Euproctus	
Hyla arborea	Anura	Hylidae	Hyla	
Hyla intermedia	Anura	Hylidae	Hyla	
